0,1,2
2020-12-28,27249.22,sell
2021-01-05,33726.57,sell
2021-02-04,37846.03,sell
2021-02-08,39012.69,sell
2021-02-09,47606.83,sell
2021-02-15,48562.31,sell
2021-02-17,52240.0,sell
2021-02-19,54454.3,sell
2021-02-24,50673.73,sell
2021-03-08,51648.79,sell
2021-03-10,56092.62,sell
2021-03-13,61314.82,sell
2021-04-09,58239.72,sell
2021-04-18,56110.8,sell
2021-05-01,57809.4,sell
2021-06-13,37364.82,sell
2021-07-02,33722.25,sell
2021-07-06,34728.48,sell
2021-07-07,34715.82,sell
2021-07-28,40643.69,sell
2021-08-08,45027.36,sell
2021-08-15,46705.2,sell
2021-10-11,57335.02,sell
2021-11-05,62174.16,sell
2022-02-04,37240.65,sell
2022-03-30,47484.93,sell
2022-04-01,46493.5,sell
2022-05-12,27891.56,buy
2022-06-15,21187.86,buy
2022-06-17,20401.31,buy
2022-06-18,17919.57,buy
2023-02-03,23524.75,sell
2023-04-18,30287.31,sell
