0,1,2
2021-03-12 10:45:00,70.929,buy
2021-03-16 10:55:00,68.532,buy
2021-03-16 13:55:00,68.041,buy
2021-03-17 14:10:00,73.917,sell
2021-03-24 10:30:00,68.431,buy
2021-03-25 10:15:00,67.166,buy
2021-03-31 10:50:00,67.045,buy
2021-04-02 09:40:00,70.128,sell
2021-04-07 10:30:00,69.374,buy
2021-04-08 11:00:00,68.431,buy
2021-04-14 09:40:00,67.637,buy
2021-04-16 11:20:00,69.246,buy
2021-04-16 13:45:00,68.613,buy
2021-04-19 09:40:00,67.671,buy
2021-04-20 10:05:00,74.052,sell
2021-04-20 13:20:00,76.145,sell
2021-04-26 10:20:00,73.561,buy
2021-04-26 14:15:00,72.632,buy
2021-04-27 09:55:00,71.285,buy
2021-04-29 14:35:00,75.91,sell
2021-05-10 10:40:00,69.293,buy
2021-05-10 14:25:00,67.085,buy
2021-05-19 10:20:00,66.748,buy
2021-05-26 10:55:00,60.879,buy
2021-05-27 10:05:00,60.906,buy
2021-06-02 10:30:00,62.878,sell
2021-06-09 09:40:00,61.316,buy
2021-06-16 14:10:00,58.339,buy
2021-06-28 09:40:00,58.358,sell
2021-06-30 09:50:00,58.473,buy
2021-07-01 10:30:00,57.065,buy
2021-07-06 10:35:00,56.596,buy
2021-07-08 09:40:00,55.189,buy
2021-07-14 14:30:00,54.174,buy
2021-07-16 10:25:00,52.163,buy
2021-07-23 13:40:00,45.288,buy
2021-07-30 10:00:00,39.658,buy
2021-08-02 09:45:00,40.156,buy
2021-08-03 13:20:00,42.272,buy
2021-08-05 14:20:00,40.156,buy
2021-08-06 09:40:00,39.486,buy
2021-08-17 14:05:00,43.718,buy
2021-08-20 10:00:00,42.493,buy
2021-08-20 13:40:00,41.928,buy
2021-08-23 10:45:00,43.306,sell
2021-08-25 14:50:00,43.077,buy
2021-08-27 13:15:00,41.391,buy
2021-08-30 10:00:00,40.692,buy
2021-09-06 10:25:00,44.723,sell
2021-09-09 13:20:00,43.326,buy
2021-09-13 11:20:00,41.717,buy
2021-09-28 10:10:00,45.959,buy
2021-10-11 10:55:00,51.129,buy
2021-10-25 14:20:00,53.839,buy
2021-11-01 10:30:00,55.217,sell
2021-11-05 11:00:00,56.424,buy
2021-11-05 13:45:00,55.677,buy
2021-11-08 11:05:00,55.773,buy
2021-11-08 14:25:00,55.38,buy
2021-11-09 11:10:00,54.748,buy
2021-11-16 10:50:00,56.127,buy
2021-12-07 09:40:00,47.672,buy
2021-12-10 13:10:00,48.582,buy
2021-12-15 09:35:00,47.328,buy
2021-12-15 13:55:00,47.146,buy
2021-12-20 10:45:00,44.953,buy
2021-12-21 10:35:00,44.388,buy
2021-12-24 14:20:00,50.028,sell
2021-12-29 10:40:00,49.626,buy
2021-12-30 09:40:00,49.463,buy
2022-01-06 10:50:00,54.193,buy
2022-01-11 13:15:00,54.633,buy
2022-01-12 14:10:00,55.035,sell
2022-01-25 13:30:00,50.344,buy
2022-01-26 14:40:00,52.038,sell
