0,1,2
2019-02-14 10:00:00,9.423,sell
2019-02-25 11:15:00,10.031,sell
2019-03-14 13:45:00,10.327,buy
2019-03-19 10:00:00,10.707,sell
2019-03-29 10:00:00,9.904,buy
2019-04-01 13:15:00,10.521,sell
2019-04-08 14:45:00,10.639,buy
2019-04-23 10:00:00,9.625,buy
2019-04-24 10:30:00,9.617,buy
2019-05-27 10:15:00,6.279,buy
2019-06-17 14:00:00,5.628,buy
2019-07-15 10:00:00,7.208,buy
2019-08-26 10:15:00,7.445,buy
2019-08-29 11:30:00,7.361,buy
2019-09-23 14:45:00,7.682,buy
2019-09-25 11:00:00,7.428,buy
2019-09-30 13:45:00,7.2,buy
2019-10-15 13:45:00,7.352,buy
2019-10-17 13:30:00,7.141,buy
2019-11-19 10:00:00,6.862,buy
2019-12-09 13:30:00,6.879,buy
2019-12-12 09:45:00,6.625,buy
2020-01-10 14:45:00,6.287,buy
2020-01-22 10:45:00,6.27,buy
2020-03-12 15:00:00,5.425,buy
2020-03-17 11:00:00,4.91,buy
2020-03-19 10:30:00,4.817,buy
2020-04-14 11:15:00,4.817,buy
2020-08-27 11:00:00,6.659,buy
2020-09-10 13:45:00,6.828,buy
2020-10-16 14:45:00,5.882,buy
2020-11-26 11:30:00,6.946,buy
2020-12-28 14:45:00,6.321,buy
2021-01-19 11:30:00,6.439,buy
2021-04-01 11:30:00,8.451,sell
2021-04-30 14:00:00,10.217,sell
2021-08-11 11:30:00,23.806,buy
2021-08-12 13:30:00,22.141,buy
2021-09-13 09:45:00,29.07,sell
2021-09-16 14:45:00,26.02,buy
2021-09-17 13:45:00,25.91,buy
2021-09-29 13:30:00,20.907,buy
2021-11-16 14:45:00,21.287,buy
2021-12-02 14:15:00,22.268,buy
2022-01-28 10:45:00,26.13,buy
2022-03-09 14:15:00,28.944,buy
2022-03-23 15:00:00,27.118,buy
2022-04-06 11:30:00,25.403,buy
2022-04-25 11:30:00,20.256,buy
2022-06-23 11:15:00,26.865,buy
2022-07-12 13:45:00,30.177,buy
2022-07-29 10:15:00,28.099,buy
2022-08-29 10:15:00,27.789,buy
2022-09-13 10:15:00,28.682,sell
2022-09-27 10:15:00,25.885,buy
2022-09-28 14:00:00,25.028,buy
2022-10-12 13:45:00,24.491,buy
2022-10-24 09:45:00,25.376,buy
2022-11-14 10:00:00,27.27,buy
2022-11-17 11:00:00,26.654,buy
2022-12-08 09:45:00,24.965,buy
2022-12-13 13:45:00,24.241,buy
2022-12-15 13:30:00,23.839,buy
2022-12-22 10:15:00,23.062,buy
2023-01-03 10:00:00,23.106,buy
2023-01-12 14:00:00,23.839,buy
2023-02-03 13:45:00,24.804,buy
2023-02-10 14:30:00,25.17,buy
2023-02-17 10:00:00,24.813,buy
2023-03-16 11:00:00,23.133,buy
2023-03-28 11:15:00,21.704,buy
2023-04-06 14:15:00,21.507,buy
2023-04-07 14:00:00,21.409,buy
2023-04-24 09:45:00,20.966,buy
2023-05-18 13:45:00,21.692,buy
2023-06-15 09:45:00,21.608,buy
2023-06-27 11:15:00,20.929,buy
2023-07-07 09:45:00,21.161,buy
2023-08-04 13:45:00,22.771,sell
2023-08-10 10:30:00,22.64,buy
2023-08-11 10:30:00,22.529,buy
2023-09-22 11:30:00,22.426,buy
2023-10-18 10:30:00,21.078,buy
2023-11-02 11:30:00,21.386,buy
2023-11-22 10:45:00,23.534,buy
2023-12-07 10:30:00,22.966,buy
2024-01-09 10:00:00,25.75,buy
2024-01-18 13:15:00,24.603,buy
2024-01-25 11:00:00,25.23,sell
2024-01-31 13:15:00,24.045,buy
2024-02-01 10:30:00,23.92,buy
2024-03-05 10:00:00,28.129,buy
2024-03-18 10:30:00,30.162,sell
2024-03-22 14:30:00,27.975,buy
2024-05-10 13:30:00,27.812,buy
2024-07-11 10:00:00,24.617,buy
2024-07-16 14:15:00,24.241,buy
2024-07-24 11:30:00,21.699,buy
2024-09-19 11:15:00,24.4,sell
2024-09-27 10:00:00,27.26,sell
2024-10-18 10:45:00,27.06,buy
2024-11-05 14:30:00,30.3,sell
2024-11-14 14:00:00,29.89,buy
2024-11-18 10:30:00,28.95,buy
2024-11-22 11:15:00,29.01,buy
2024-11-26 09:45:00,28.33,buy
2024-11-27 10:30:00,28.19,buy
2024-12-05 10:00:00,27.99,buy
2024-12-19 10:00:00,27.26,buy
