0,1,2
1998-11-19 00:00:00,8.157,sell
1999-10-13 00:00:00,13.575,buy
2001-02-05 00:00:00,20.469,buy
2001-05-31 00:00:00,17.31,buy
2001-08-01 00:00:00,11.837,buy
2001-10-10 00:00:00,8.486,buy
2001-11-19 00:00:00,7.689,buy
2002-09-20 00:00:00,8.567,buy
2003-05-15 00:00:00,6.769,buy
2004-02-02 00:00:00,7.092,sell
2004-04-22 00:00:00,7.231,buy
2004-09-01 00:00:00,5.293,buy
2005-04-27 00:00:00,3.309,buy
2005-11-03 00:00:00,2.767,buy
2007-07-06 00:00:00,8.771,buy
2007-09-05 00:00:00,13.981,sell
2009-04-16 00:00:00,5.242,sell
2010-07-28 00:00:00,11.619,sell
2010-10-11 00:00:00,10.687,buy
2011-01-05 00:00:00,11.139,buy
2011-06-27 00:00:00,9.73,buy
2011-10-26 00:00:00,6.979,buy
2018-02-06 00:00:00,9.436,buy
2018-09-19 00:00:00,13.873,buy
2018-10-17 00:00:00,12.911,buy
2019-07-18 00:00:00,10.138,buy
2021-02-19 00:00:00,29.857,buy
2021-03-23 00:00:00,28.804,buy
2021-04-19 00:00:00,28.073,buy
2021-05-13 00:00:00,25.607,buy
2022-01-13 00:00:00,26.853,buy
2022-03-14 00:00:00,19.998,buy
2022-04-18 00:00:00,19.119,buy
2022-12-28 00:00:00,15.084,buy
2024-01-19 00:00:00,11.732,buy
2025-01-09 00:00:00,14.89,buy
