time,price,signal,label
2002-02-05,23.58,buy,2.0
2002-02-06,20.98,buy,1.0
2002-02-07,21.81,buy,1.0
2002-04-04,22.4,buy,2.0
2002-04-05,21.1,buy,1.0
2002-04-08,21.05,buy,1.0
2002-04-09,22.1,buy,2.0
2002-05-07,17.46,buy,1.0
2002-07-11,11.78,buy,1.0
2002-07-31,17.2,sell,3.0
2002-08-01,16.06,sell,3.0
2002-09-24,11.77,buy,1.0
2002-09-25,12.93,buy,1.0
2002-11-05,16.98,sell,4.0
2002-11-07,17.07,sell,4.0
2002-11-22,21.54,sell,3.0
2002-11-25,22.24,sell,3.0
2002-11-26,21.55,sell,3.0
2003-02-07,17.89,buy,2.0
2003-04-01,6.89,buy,2.0
2003-04-02,6.6,buy,2.0
2003-04-03,6.8,buy,2.0
2003-05-16,7.06,sell,4.0
2003-05-20,9.99,sell,4.0
2003-05-21,10.21,sell,4.0
2003-05-22,10.51,sell,4.0
2003-05-23,11.22,sell,4.0
2003-05-27,13.62,sell,4.0
2003-05-28,13.38,sell,4.0
2003-05-29,13.08,sell,4.0
2003-08-06,12.43,buy,1.0
2003-08-07,12.78,buy,1.0
2003-09-03,16.52,sell,3.0
2003-09-04,17.21,sell,3.0
2003-09-05,16.88,sell,3.0
2003-09-09,21.75,sell,3.0
2003-09-10,21.53,sell,3.0
2003-09-11,20.9,sell,3.0
2003-10-08,14.53,buy,2.0
2003-10-09,14.44,buy,2.0
2003-12-24,14.16,sell,4.0
2003-12-31,14.71,sell,3.0
2004-02-05,13.79,buy,2.0
2004-02-06,14.76,buy,2.0
2004-06-14,8.92,buy,1.0
2004-06-15,9.22,buy,1.0
2004-07-19,8.27,buy,2.0
2004-08-10,7.11,buy,1.0
2004-10-21,6.92,buy,1.0
2004-11-10,8.51,sell,4.0
2004-11-11,8.71,sell,4.0
2004-11-12,8.72,sell,4.0
2009-09-17,22.01,sell,3.0
2009-09-18,22.01,sell,3.0
2009-09-21,21.61,sell,3.0
2009-10-27,17.2,buy,1.0
2009-10-28,16.54,buy,1.0
2009-10-29,16.24,buy,1.0
2009-10-30,15.7,buy,1.0
2009-11-02,15.3,buy,1.0
2009-11-03,15.97,buy,1.0
2009-12-17,20.7,sell,4.0
2009-12-18,21.34,sell,4.0
2009-12-21,21.94,sell,4.0
2009-12-22,22.5,sell,4.0
2009-12-23,22.9,sell,4.0
2009-12-24,23.2,sell,4.0
2009-12-28,24.52,sell,4.0
2009-12-29,24.34,sell,4.0
2010-02-16,28.74,sell,3.0
2010-02-18,26.66,sell,3.0
2010-04-22,24.56,buy,1.0
2010-07-01,20.79,buy,1.0
2010-07-02,21.61,buy,1.0
2010-07-27,24.61,sell,3.0
2010-08-24,22.12,buy,1.0
2010-08-25,22.47,buy,1.0
2010-10-06,29.18,sell,3.0
2010-10-07,28.05,sell,3.0
2010-11-01,26.0,buy,1.0
2010-11-02,26.61,buy,1.0
2010-11-16,24.68,buy,1.0
2010-12-21,33.65,sell,4.0
2010-12-22,33.47,sell,4.0
2011-02-11,35.31,sell,4.0
2011-03-30,44.68,sell,4.0
