time,label
2019-04-17 11:30:00,3
2019-04-17 14:00:00,3
2019-04-17 15:00:00,3
2019-04-18 10:30:00,3
2019-04-18 11:30:00,3
2019-04-23 11:30:00,2
2019-04-23 14:00:00,2
2019-04-23 15:00:00,2
2019-04-24 10:30:00,2
2019-04-24 11:30:00,2
2019-05-31 15:00:00,2
2019-06-03 10:30:00,2
2019-06-03 11:30:00,2
2019-06-03 14:00:00,2
2019-06-03 15:00:00,2
2019-06-11 10:30:00,1
2019-06-11 11:30:00,1
2019-06-11 14:00:00,1
2019-06-11 15:00:00,1
2019-06-12 10:30:00,1
2019-07-01 15:00:00,3
2019-07-02 10:30:00,3
2019-07-02 11:30:00,3
2019-07-02 14:00:00,3
2019-07-02 15:00:00,3
2019-07-11 10:30:00,1
2019-07-11 11:30:00,1
2019-07-11 14:00:00,1
2019-07-11 15:00:00,1
2019-07-12 10:30:00,1
2019-07-25 10:30:00,1
2019-07-25 11:30:00,1
2019-07-25 14:00:00,1
2019-07-25 15:00:00,1
2019-07-26 10:30:00,1
2019-07-31 15:00:00,3
2019-08-01 10:30:00,3
2019-08-01 11:30:00,3
2019-08-01 14:00:00,3
2019-08-01 15:00:00,3
2019-08-15 11:30:00,3
2019-08-15 14:00:00,3
2019-08-15 15:00:00,3
2019-08-16 10:30:00,3
2019-08-16 11:30:00,3
2019-08-19 10:30:00,1
2019-08-19 11:30:00,1
2019-08-19 14:00:00,1
2019-08-19 15:00:00,1
2019-08-20 10:30:00,1
2019-08-29 11:30:00,3
2019-08-29 14:00:00,3
2019-08-29 15:00:00,3
2019-08-30 10:30:00,3
2019-08-30 11:30:00,3
2019-08-30 15:00:00,1
2019-09-02 10:30:00,1
2019-09-02 11:30:00,1
2019-09-02 14:00:00,1
2019-09-02 15:00:00,1
2019-09-27 10:30:00,2
2019-09-27 11:30:00,2
2019-09-27 14:00:00,2
2019-09-27 15:00:00,2
2019-09-30 10:30:00,2
2019-10-11 10:30:00,1
2019-10-11 11:30:00,1
2019-10-11 14:00:00,1
2019-10-11 15:00:00,1
2019-10-14 10:30:00,1
2019-10-21 10:30:00,3
2019-10-21 11:30:00,3
2019-10-21 14:00:00,3
2019-10-21 15:00:00,3
2019-10-22 10:30:00,3
2019-10-22 15:00:00,3
2019-10-23 10:30:00,3
2019-10-23 11:30:00,3
2019-10-23 14:00:00,3
2019-10-23 15:00:00,3
2019-10-29 11:30:00,2
2019-10-29 14:00:00,2
2019-10-29 15:00:00,2
2019-10-30 10:30:00,2
2019-10-30 11:30:00,2
2019-11-07 10:30:00,3
2019-11-07 11:30:00,3
2019-11-07 14:00:00,3
2019-11-07 15:00:00,3
2019-11-08 10:30:00,3
2019-11-12 15:00:00,2
2019-11-13 10:30:00,2
2019-11-13 11:30:00,2
2019-11-13 14:00:00,2
2019-11-13 15:00:00,2
2019-11-22 14:00:00,2
2019-11-22 15:00:00,2
2019-11-25 10:30:00,2
2019-11-25 11:30:00,2
2019-11-25 14:00:00,2
2019-12-03 11:30:00,3
2019-12-03 14:00:00,3
2019-12-03 15:00:00,3
2019-12-04 10:30:00,3
2019-12-04 11:30:00,3
2019-12-05 15:00:00,1
2019-12-06 10:30:00,1
2019-12-06 11:30:00,1
2019-12-06 14:00:00,1
2019-12-06 15:00:00,1
2020-01-02 10:30:00,1
2020-01-02 11:30:00,1
2020-01-02 14:00:00,1
