time,price,signal,label
1996-12-18,65.88,buy,2.0
1997-01-02,65.63,sell,4.0
1997-01-08,68.88,buy,2.0
1997-01-14,68.25,sell,4.0
1997-01-20,69.75,buy,2.0
1997-01-28,71.13,sell,4.0
1997-02-03,74.13,buy,1.0
1997-02-10,78.38,sell,3.0
1997-02-11,78.38,buy,2.0
1997-02-19,79.13,sell,4.0
1997-03-10,78.38,buy,2.0
1997-03-17,75.13,sell,4.0
1997-03-26,73.63,buy,2.0
1997-03-31,72.13,sell,4.0
1997-04-01,71.88,buy,2.0
1997-04-03,69.5,sell,4.0
1997-04-08,70.88,buy,2.0
1997-04-15,69.38,sell,4.0
1997-04-17,69.5,buy,2.0
1997-04-22,70.25,sell,4.0
1997-04-23,70.63,buy,2.0
1997-04-28,69.75,sell,4.0
1997-04-30,74.5,buy,2.0
1997-05-14,76.38,sell,4.0
1997-05-22,78.38,buy,2.0
1997-05-27,75.88,sell,4.0
1997-06-06,78.0,buy,1.0
1997-06-19,85.0,sell,3.0
1997-07-03,86.44,buy,2.0
1997-07-17,85.75,sell,4.0
1997-07-24,86.19,buy,2.0
1997-08-04,86.25,sell,4.0
1997-08-07,86.25,buy,2.0
1997-08-08,84.94,sell,4.0
1997-08-20,85.13,buy,2.0
1997-08-27,80.63,sell,4.0
1997-09-04,81.38,buy,2.0
1997-09-12,81.75,sell,4.0
1997-09-16,84.38,buy,2.0
1997-09-26,86.0,sell,4.0
1997-10-03,88.94,buy,2.0
1997-10-08,86.44,sell,4.0
1997-10-22,85.06,buy,2.0
1997-10-28,84.31,sell,4.0
1997-10-29,85.0,buy,2.0
1997-10-31,81.0,sell,4.0
1997-11-13,79.94,buy,2.0
1997-11-28,83.75,sell,4.0
1997-12-03,85.94,buy,2.0
1997-12-12,87.19,sell,4.0
1997-12-30,92.5,buy,2.0
1998-01-09,89.5,sell,4.0
1998-01-20,93.63,buy,2.0
1998-01-26,90.0,sell,4.0
1998-02-04,90.81,buy,2.0
1998-02-19,92.63,sell,4.0
1998-02-23,95.19,buy,2.0
1998-03-05,98.94,sell,4.0
1998-03-10,103.0,buy,2.0
1998-03-16,105.81,sell,4.0
1998-03-17,105.5,buy,2.0
1998-03-19,105.5,sell,4.0
1998-03-23,106.06,buy,2.0
1998-03-24,107.75,sell,4.0
1998-04-03,113.31,buy,2.0
1998-04-08,109.88,sell,4.0
1998-04-16,111.19,buy,2.0
1998-04-17,113.25,sell,4.0
1998-04-20,111.5,buy,2.0
1998-04-24,109.88,sell,4.0
1998-05-01,111.38,buy,2.0
1998-05-13,110.75,sell,4.0
1998-05-21,111.81,buy,2.0
1998-05-28,109.13,sell,4.0
1998-06-02,111.75,buy,2.0
1998-06-04,108.0,sell,4.0
1998-06-09,111.69,buy,2.0
1998-06-15,105.75,sell,4.0
1998-06-24,105.75,buy,1.0
1998-07-13,117.31,sell,3.0
1998-07-16,58.06,buy,2.0
1998-07-17,58.94,sell,4.0
1998-07-31,52.06,buy,2.0
1998-08-03,52.56,sell,4.0
1998-08-04,50.88,buy,2.0
1998-08-05,50.56,sell,4.0
1998-08-06,50.81,buy,2.0
1998-08-27,47.19,sell,4.0
1998-09-09,47.38,buy,1.0
1998-09-22,50.06,sell,3.0
1998-09-24,50.44,buy,2.0
1998-09-25,49.75,sell,4.0
1998-10-12,42.94,buy,1.0
1998-11-09,53.25,sell,3.0
1998-11-20,54.06,buy,2.0
1998-12-01,54.81,sell,4.0
1998-12-10,55.06,buy,2.0
1998-12-15,53.63,sell,4.0
1998-12-18,55.94,buy,2.0
1998-12-31,54.88,sell,4.0
1999-01-27,50.69,buy,2.0
1999-02-08,50.44,sell,4.0
1999-02-12,50.44,buy,2.0
1999-02-16,51.38,sell,4.0
1999-02-17,50.44,buy,2.0
1999-02-18,51.0,sell,4.0
1999-02-19,52.19,buy,2.0
1999-02-26,54.06,sell,4.0
1999-03-03,54.31,buy,2.0
1999-03-04,54.0,sell,4.0
1999-03-11,53.94,buy,2.0
1999-03-12,55.06,sell,4.0
1999-03-16,56.25,buy,2.0
1999-03-24,57.0,sell,4.0
1999-04-06,57.56,buy,2.0
1999-04-09,58.0,sell,4.0
1999-04-13,58.0,buy,2.0
1999-04-15,57.94,sell,4.0
1999-04-19,58.5,buy,2.0
1999-04-27,60.94,sell,4.0
1999-04-28,60.31,buy,2.0
1999-04-29,61.06,sell,4.0
1999-04-30,58.94,buy,2.0
1999-05-03,60.63,sell,4.0
1999-05-10,63.0,buy,2.0
1999-05-18,63.19,sell,4.0
1999-05-20,64.19,buy,2.0
1999-05-21,65.06,sell,4.0
1999-06-15,60.0,buy,2.0
1999-06-24,58.63,sell,4.0
1999-07-02,60.0,buy,2.0
1999-07-14,59.94,sell,4.0
1999-08-11,50.0,buy,2.0
1999-08-12,49.94,sell,4.0
1999-08-16,50.13,buy,2.0
1999-08-26,49.5,sell,4.0
1999-09-07,49.19,buy,2.0
1999-09-15,46.94,sell,4.0
1999-09-20,47.31,buy,2.0
1999-09-22,45.5,sell,4.0
1999-10-05,38.81,buy,2.0
1999-10-14,37.81,sell,4.0
1999-10-22,43.88,buy,1.0
1999-11-10,50.44,sell,3.0
1999-12-01,47.13,buy,2.0
1999-12-07,42.81,sell,4.0
1999-12-10,45.56,buy,2.0
1999-12-20,42.5,sell,4.0
1999-12-23,45.94,buy,2.0
2000-01-05,42.44,sell,4.0
2000-01-18,41.81,buy,2.0
2000-01-19,40.5,sell,4.0
2000-01-27,39.06,buy,2.0
2000-01-31,38.13,sell,4.0
2000-02-01,38.81,buy,2.0
2000-02-09,35.38,sell,4.0
2000-03-03,31.0,buy,2.0
2000-03-09,30.13,sell,4.0
2000-03-10,30.38,buy,2.0
2000-03-14,30.0,sell,4.0
2000-03-15,33.38,buy,1.0
2000-04-04,49.88,sell,3.0
2000-04-24,51.88,buy,2.0
2000-05-05,51.44,sell,4.0
2000-05-12,53.27,buy,1.0
2000-05-18,56.44,sell,3.0
2000-05-19,56.38,buy,2.0
2000-05-26,59.13,sell,4.0
2000-06-16,53.56,buy,2.0
2000-06-19,55.31,sell,4.0
2000-06-20,52.79,buy,2.0
2000-06-22,50.81,sell,4.0
2000-06-26,53.94,buy,1.0
2000-07-14,60.0,sell,3.0
2000-07-17,59.0,buy,2.0
2000-07-18,57.44,sell,4.0
2000-07-26,64.5,buy,2.0
2000-08-10,64.0,sell,4.0
2000-08-22,65.0,buy,2.0
2000-08-24,62.75,sell,4.0
2000-08-29,62.5,buy,1.0
2000-08-30,65.94,sell,3.0
2000-08-31,66.64,buy,1.0
