time,price,signal,label
2020-11-10,53.46,buy,1.0
2021-01-07,58.51,buy,2.0
2021-01-13,60.03,buy,2.0
2021-02-01,52.75,sell,4.0
2022-03-18,62.39,buy,1.0
2022-04-22,68.5,buy,2.0
2022-09-07,48.97,sell,3.0
2023-12-15,54.24,buy,2.0
