time,price,signal,label
1984-08-07,20.01,buy,1.0
1984-08-10,21.03,buy,2.0
1984-10-04,20.56,sell,4.0
1985-11-07,32.54,buy,2.0
1986-01-09,30.8,sell,4.0
1986-03-07,42.13,buy,2.0
1987-02-03,60.08,buy,2.0
1987-06-24,34.48,buy,2.0
1987-10-20,21.49,sell,4.0
1987-10-21,24.61,sell,3.0
1989-10-17,30.62,sell,3.0
1989-10-23,29.79,sell,3.0
1990-07-23,40.46,buy,2.0
1990-10-17,27.36,sell,4.0
1991-02-07,39.99,buy,2.0
1991-05-31,42.83,buy,2.0
1991-06-03,42.83,buy,2.0
1991-08-20,40.96,sell,4.0
1991-10-14,41.06,sell,3.0
1992-08-27,49.13,sell,3.0
1993-04-16,62.07,buy,2.0
1993-06-11,55.78,sell,4.0
1993-06-14,56.41,sell,4.0
1993-08-17,59.82,buy,2.0
1993-10-28,59.6,buy,1.0
1993-11-02,60.66,buy,2.0
1993-11-03,59.92,buy,2.0
1994-06-15,34.03,sell,3.0
1994-11-25,30.03,sell,4.0
1995-03-30,34.46,buy,2.0
1995-11-28,41.28,buy,2.0
1995-12-05,43.09,buy,2.0
1996-07-16,41.35,sell,4.0
1996-12-13,52.48,sell,3.0
1996-12-18,50.86,sell,3.0
1997-03-24,51.76,sell,3.0
1997-10-29,52.91,sell,4.0
1998-05-13,72.99,buy,2.0
1998-06-22,60.85,sell,3.0
1998-08-17,56.53,sell,3.0
1999-04-16,57.08,buy,1.0
1999-04-20,58.96,buy,1.0
2000-10-31,44.62,buy,2.0
2000-12-28,47.31,buy,2.0
2001-03-26,46.59,sell,4.0
2001-09-20,41.93,sell,4.0
2001-09-24,43.0,sell,4.0
2002-01-18,45.11,sell,4.0
2002-07-22,49.27,sell,4.0
2003-12-02,60.35,buy,2.0
2004-01-20,60.66,sell,3.0
2007-09-18,75.7,buy,2.0
2007-09-19,77.38,buy,2.0
2008-09-30,58.32,sell,3.0
2009-07-17,49.56,buy,1.0
2011-01-21,82.15,sell,4.0
2012-04-20,101.29,buy,2.0
2012-07-20,113.85,buy,2.0
2012-11-07,120.64,buy,2.0
2012-12-17,130.2,buy,1.0
2013-04-19,141.59,buy,1.0
2013-10-18,175.77,buy,1.0
2014-07-01,208.86,buy,2.0
2014-10-02,191.17,sell,4.0
2014-10-08,189.53,sell,4.0
2015-06-16,116.0,sell,3.0
2015-06-18,117.81,sell,3.0
2016-06-27,100.68,sell,4.0
2016-06-29,102.49,sell,4.0
2016-09-12,102.76,sell,3.0
2016-10-10,93.85,sell,4.0
2017-03-09,102.93,buy,1.0
2017-07-21,106.35,sell,3.0
2018-01-18,118.41,sell,3.0
2018-10-10,99.6,sell,4.0
2019-03-25,107.06,sell,4.0
2020-02-03,121.34,sell,3.0
2020-03-02,105.31,sell,3.0
2020-10-09,135.88,buy,2.0
2021-04-19,168.78,buy,1.0
2021-07-21,159.77,sell,3.0
2022-03-01,126.5,sell,4.0
2023-10-20,124.72,sell,4.0
2024-01-22,142.14,sell,3.0
2024-04-22,131.16,sell,4.0
2024-09-27,134.56,buy,2.0
