date,open,high,low,close,volume
2015-02-17,3230.8840,3255.7250,3230.7720,3246.9060,22833262336
2015-02-25,3256.4790,3257.2230,3215.5520,3228.8430,23334809344
2015-02-26,3222.1510,3300.6160,3202.1880,3298.3590,30126387456
2015-02-27,3296.8310,3324.5460,3291.0070,3310.3030,29916371712
2015-03-02,3332.7210,3336.7600,3298.6690,3336.2850,34644567040
2015-03-03,3317.6950,3317.6950,3260.4290,3263.0520,38204461824
2015-03-04,3264.1820,3286.5880,3250.4840,3279.5330,29363952128
2015-03-05,3264.0850,3266.6380,3221.6660,3248.4760,32066358528
2015-03-06,3248.0360,3266.9330,3234.5330,3241.1870,28291579136
2015-03-09,3224.3140,3307.7020,3198.3700,3302.4080,32149543936
2015-03-10,3289.0850,3309.9150,3277.0950,3286.0680,28581757440
2015-03-11,3289.5940,3325.0540,3278.4710,3290.9000,28298553600
2015-03-12,3314.8130,3360.0540,3300.4880,3349.3230,35729510400
2015-03-13,3359.4880,3391.2550,3352.1500,3372.9110,32841015552
2015-03-16,3391.1580,3449.3050,3377.0870,3449.3050,39913243136
2015-03-17,3469.6030,3504.1230,3459.6940,3502.8470,52093950720
2015-03-18,3510.5010,3577.6620,3503.8530,3577.3010,54521714432
2015-03-19,3576.0190,3600.6840,3546.8440,3582.2710,53734661376
2015-03-20,3587.0840,3632.3380,3569.3800,3617.3180,51666166784
2015-03-23,3640.1040,3688.2490,3635.4850,3687.7280,53606283264
2015-03-24,3692.5690,3715.8730,3600.6980,3691.4100,63955467008
2015-03-25,3680.9530,3693.1510,3634.5590,3660.7270,52188634880
2015-03-26,3641.9420,3707.3180,3615.0110,3682.0950,48864720384
2015-03-27,3686.1340,3710.4770,3656.8310,3691.0960,40894516480
2015-03-30,3710.6120,3795.9350,3710.6120,3786.5680,56470235392
2015-03-31,3822.9870,3835.5670,3737.0430,3747.8990,56167603712
2015-04-01,3748.3400,3817.0820,3742.2130,3810.2940,44745831936
2015-04-02,3827.6890,3835.4510,3775.8940,3825.7840,47929967360
2015-04-03,3803.3830,3864.4050,3792.2110,3863.9290,47303331072
2015-04-07,3899.4200,3961.6660,3891.7280,3961.3780,57044753408
2015-04-08,3976.5320,4000.2200,3903.6480,3994.8110,61808541952
2015-04-09,4006.1300,4016.3960,3900.0270,3957.5340,58517682432
2015-04-10,3947.4920,4040.3480,3929.3190,4034.3100,48428361984
2015-04-13,4072.7230,4128.0720,4057.2930,4121.7150,58981422592
2015-04-14,4125.7820,4168.3460,4091.2570,4135.5650,61068354048
2015-04-15,4135.6480,4175.4940,4069.0070,4084.1630,61300581120
2015-04-16,4055.9160,4195.3050,4031.2440,4194.8230,55124295680
2015-04-17,4254.7230,4317.2230,4238.9100,4287.2960,70170619904
2015-04-20,4301.3520,4356.0010,4190.6810,4217.0770,85713281024
2015-04-21,4212.1850,4294.3750,4188.5690,4293.6230,63447062784
2015-04-22,4304.5970,4400.1920,4297.9510,4398.4950,68030508544
2015-04-23,4414.4850,4444.4100,4358.8430,4414.5080,66734466048
2015-04-24,4355.9510,4416.3750,4318.1190,4393.6860,62855499520
2015-04-27,4441.9290,4529.7350,4441.9290,4527.3960,67108852224
2015-04-28,4527.6350,4572.3910,4432.9040,4476.2140,76767641600
2015-04-29,4446.1190,4499.9450,4398.6390,4476.6200,51983420160
2015-04-30,4483.0130,4507.3440,4441.0540,4441.6550,52672797440
2015-05-04,4441.3430,4487.5690,4387.4250,4480.4640,49417339904
2015-05-05,4479.8480,4488.8650,4282.2370,4298.7070,57285859584
2015-05-06,4311.6410,4376.3530,4187.3680,4229.2660,48173299200
2015-05-07,4197.8960,4213.7640,4108.0090,4112.2140,39456665344
2015-05-08,4152.9840,4206.8600,4099.0420,4205.9170,39742809344
2015-05-11,4231.2710,4334.8770,4187.8200,4333.5840,48875051520
2015-05-12,4342.3710,4402.3100,4317.9750,4401.2190,52186640896
2015-05-13,4402.3770,4415.6290,4342.4810,4375.7600,51049047552
2015-05-14,4372.8160,4397.7450,4329.0420,4378.3120,44907793408
2015-05-15,4366.8220,4366.8220,4278.5530,4308.6910,43970619904
2015-05-18,4277.8950,4324.8260,4260.5090,4283.4910,38005745152
2015-05-19,4285.7770,4418.4030,4285.7770,4417.5520,43673522432
2015-05-20,4434.9790,4520.5380,4432.2790,4446.2880,51410622208
2015-05-21,4456.4350,4530.4790,4438.2580,4529.4210,46499652096
2015-05-22,4584.9840,4658.2720,4562.9890,4657.5960,65559128832
2015-05-25,4660.0750,4814.6710,4656.8250,4813.7970,68246139136
2015-05-26,4854.8500,4911.6850,4779.0750,4910.8970,70489284608
2015-05-27,4932.8460,4958.1560,4857.0560,4941.7140,68116537856
2015-05-28,4943.7420,4986.5030,4614.2410,4620.2660,78296461312
2015-05-29,4603.4650,4698.1930,4431.5630,4611.7440,61126241024
2015-06-01,4633.0990,4829.5020,4615.2310,4828.7380,59338903552
2015-06-02,4844.7040,4911.5740,4797.5520,4910.5270,62374809856
2015-06-03,4924.3800,4942.0650,4822.4420,4909.9780,61145383936
2015-06-04,4912.9450,4947.9640,4647.4070,4947.1020,67495240192
2015-06-05,5016.0880,5051.6260,4898.0680,5023.0960,77224079360
2015-06-08,5045.6940,5146.9490,4997.4810,5131.8810,85503508480
2015-06-09,5145.9780,5147.4540,5042.9630,5113.5340,72989380608
2015-06-10,5049.1960,5164.1620,5001.4890,5106.0360,59696900096
2015-06-11,5101.4400,5122.4570,5050.7650,5121.5920,56399052288
2015-06-12,5143.3430,5178.1910,5103.4010,5166.3500,62562785536
2015-06-15,5174.4180,5176.7940,5048.7420,5062.9930,63780398336
2015-06-16,5004.4120,5029.6840,4842.1000,4887.4320,55080140800
2015-06-17,4890.5510,4983.6580,4767.2160,4967.8980,53710116864
2015-06-18,4942.5200,4966.7670,4780.8730,4785.3560,50744089856
2015-06-19,4689.9290,4744.0810,4476.5010,4478.3640,45268962560
2015-06-23,4471.6130,4577.9390,4264.7720,4576.4920,47352612864
2015-06-24,4604.5790,4691.7680,4552.1280,4690.1500,54300370944
2015-06-25,4711.7630,4720.7010,4483.5480,4527.7790,57279753216
2015-06-26,4399.9330,4456.8960,4139.5300,4192.8740,56521787392
2015-06-29,4289.7710,4297.4750,3875.0500,4053.0310,67378635008
2015-06-30,4006.7540,4279.9690,3847.8800,4277.2220,70917664768
2015-07-01,4214.1500,4317.0530,4043.3670,4053.7000,59876942592
2015-07-02,4058.6240,4080.3870,3795.2530,3912.7670,58601561088
2015-07-03,3793.7120,3927.1270,3629.5560,3686.9150,54816311040
2015-07-06,3975.2140,3975.2140,3653.0370,3775.9120,83113930752
2015-07-07,3654.7780,3750.5700,3585.3990,3727.1250,69881868288
2015-07-08,3467.3990,3599.2530,3421.5250,3507.1920,68035692288
2015-07-09,3432.4540,3748.4790,3373.5400,3709.3300,65691461120
2015-07-10,3707.4580,3959.2190,3677.4350,3877.8030,58636425472
2015-07-13,3918.9900,4030.1950,3858.6370,3970.3880,64348900608
2015-07-14,3958.3730,4035.4350,3855.5600,3924.4870,67055879936
2015-07-15,3874.9680,3914.2730,3741.2500,3805.7030,60130132480
2015-07-16,3758.5040,3877.5140,3688.4410,3823.1760,49225619968
2015-07-17,3831.4200,3994.4770,3814.1470,3957.3520,48172626688
2015-07-20,3948.4210,4021.3250,3927.1210,3992.1100,53910671360
2015-07-21,3939.8980,4041.8190,3912.8010,4017.6750,50428802816
2015-07-22,3996.4270,4042.3380,3960.8640,4026.0450,52073222400
2015-07-23,4022.2680,4132.6120,4019.0380,4123.9230,56358596608
2015-07-24,4124.7550,4184.4490,4044.8310,4070.9080,62742486016
2015-07-27,3985.5700,4051.1590,3720.4440,3725.5580,55600324608
2015-07-28,3573.1430,3762.5260,3537.3580,3663.0020,56333004288
2015-07-29,3689.8250,3792.0720,3612.0640,3789.1680,43435208448
2015-07-30,3773.7880,3844.3740,3685.9560,3705.7660,45794322688
2015-07-31,3655.6670,3729.5120,3620.1650,3663.7260,35095574528
2015-08-03,3614.9900,3648.9430,3549.4960,3622.9050,36396873216
2015-08-04,3621.8550,3757.0290,3601.2890,3756.5450,36290166528
2015-08-05,3745.6460,3782.3520,3676.3900,3694.5730,36642297856
2015-08-06,3625.5030,3710.5700,3614.7420,3661.5390,27407466240
2015-08-07,3692.6140,3756.7400,3686.3000,3744.2050,34075718400
2015-08-10,3786.0330,3943.6240,3775.8540,3928.4150,49730432000
2015-08-11,3928.8080,3970.3370,3891.1790,3927.9080,53892346112
2015-08-12,3881.2280,3937.7720,3871.1360,3886.3200,44268827904
2015-08-13,3869.9110,3955.7890,3838.1590,3954.5560,43007330304
2015-08-14,3976.4060,4000.6840,3939.8350,3965.3350,46798821632
2015-08-17,3947.8440,3994.5370,3907.3990,3993.6680,46043205888
2015-08-18,3999.1340,4006.3370,3743.3940,3748.1640,54377082112
2015-08-19,3646.8030,3811.4270,3558.3830,3794.1090,47539623936
2015-08-20,3754.5670,3788.0050,3663.6070,3664.2910,39006305792
2015-08-21,3609.9590,3652.8370,3490.5400,3507.7440,36992047872
2015-08-24,3373.4780,3388.3640,3191.8790,3209.9050,33467179264
2015-08-25,3004.1260,3123.0340,2947.9440,2964.9670,35232510976
2015-08-26,2980.7940,3092.0410,2850.7130,2927.2880,46669966336
2015-08-27,2978.0300,3085.4220,2906.4900,3083.5910,40030839808
2015-08-28,3125.2630,3235.8380,3102.9450,3232.3500,44313692928
2015-08-31,3203.5590,3207.8620,3109.1630,3205.9860,39743138304
2015-09-01,3157.8320,3180.3310,3053.7380,3166.6240,43243246848
2015-09-02,3027.6780,3194.4850,3019.0870,3160.1670,43817015296
2015-09-07,3149.3800,3217.5790,3066.3040,3080.4200,29646811392
2015-09-08,3054.4440,3174.7090,3011.1170,3170.4520,25541546496
2015-09-09,3182.5520,3256.7430,3165.6960,3243.0890,37532797696
2015-09-10,3190.5530,3243.2810,3178.9040,3197.8930,27326176000
2015-09-11,3189.4790,3223.7620,3163.4490,3200.2340,22455782144
2015-09-14,3221.1650,3229.4820,3049.2300,3114.7980,34663115776
2015-09-15,3043.8050,3081.7030,2983.9200,3005.1720,24919444480
2015-09-16,2998.0360,3182.9340,2983.5350,3152.2630,27752452352
2015-09-17,3131.9820,3204.7020,3085.3140,3086.0610,31760289280
2015-09-18,3100.2800,3122.0480,3070.3350,3097.9170,20917539840
2015-09-21,3072.0940,3159.8830,3060.8560,3156.5400,23989735424
2015-09-22,3161.3180,3213.4760,3152.4800,3185.6190,27478615296
2015-09-23,3137.7230,3164.0410,3104.7440,3115.8880,23632267008
2015-09-24,3126.4900,3151.1650,3109.6910,3142.6870,21288772352
2015-09-25,3130.8510,3149.9480,3062.9950,3092.3470,23626387200
2015-09-28,3085.5670,3103.0690,3042.3100,3100.7560,15672752896
2015-09-29,3055.2180,3068.2980,3021.1570,3038.1370,16322267392
2015-09-30,3052.8410,3073.3000,3039.7420,3052.7810,14664244992
2015-10-08,3156.0750,3172.2810,3133.1270,3143.3570,23427604992
2015-10-09,3146.6440,3192.7170,3137.7880,3183.1520,23485144576
2015-10-12,3193.5400,3318.7140,3188.4060,3287.6620,38629471488
2015-10-13,3262.1560,3298.6260,3253.2490,3293.2300,29715313408
2015-10-14,3280.0200,3307.3150,3256.2530,3262.4410,29507773952
2015-10-15,3255.0310,3338.2970,3254.3920,3338.0730,31628385024
2015-10-16,3358.2970,3393.0180,3334.8540,3391.3520,39546057472
2015-10-19,3401.6270,3423.4020,3355.5660,3386.7000,37811218432
2015-10-20,3377.5470,3425.5150,3357.8610,3425.3300,31897375744
2015-10-21,3428.5610,3447.2580,3265.4360,3320.6760,45845542912
2015-10-22,3292.2910,3373.7760,3282.9930,3368.7390,32373934080
2015-10-23,3377.5480,3422.0220,3360.2180,3412.4340,34737285376
2015-10-26,3448.6490,3457.5170,3402.0000,3429.5810,36556085248
2015-10-27,3409.1370,3441.5650,3332.6160,3434.3360,32817276928
2015-10-28,3417.0100,3439.7580,3367.2310,3375.1960,29352328448
2015-10-29,3387.7740,3411.7140,3362.5100,3387.3150,23567602688
2015-10-30,3380.2840,3417.2010,3346.5910,3382.5610,24359511808
2015-11-02,3337.5780,3391.0640,3322.3120,3325.0850,23095112960
2015-11-03,3330.3160,3346.2750,3302.1840,3316.6950,19289742848
2015-11-04,3325.6190,3459.6460,3325.6190,3459.6400,33907873024
2015-11-05,3459.2150,3585.6570,3455.5250,3522.8190,55325494784
2015-11-06,3514.4360,3596.3820,3508.8270,3590.0320,42916703232
2015-11-09,3588.4980,3673.7600,3588.4980,3646.8810,50301668096
2015-11-10,3617.3960,3669.5320,3607.8910,3640.4850,42974657536
2015-11-11,3635.0040,3654.8770,3605.6210,3650.2500,36097265152
2015-11-12,3656.8170,3659.3150,3603.2290,3632.9020,36171760128
2015-11-13,3600.7640,3632.5560,3564.8090,3580.8390,34587093248
2015-11-16,3522.4610,3607.6120,3519.4210,3606.9580,27618705664
2015-11-17,3629.9770,3678.2720,3598.0680,3604.7950,38357546752
2015-11-18,3605.0610,3617.0690,3558.6970,3568.4680,29758073344
2015-11-19,3573.7760,3618.2130,3561.0440,3617.0620,24791557632
2015-11-20,3620.7910,3640.5290,3607.9150,3630.5000,31080197120
2015-11-23,3630.8670,3654.7540,3598.8710,3610.3150,31599747328
2015-11-24,3602.8870,3616.4840,3563.1040,3616.1130,24881052416
2015-11-25,3614.0680,3648.3670,3607.5180,3647.9300,27302485760
2015-11-26,3659.5740,3668.3760,3629.8650,3635.5520,30676158208
2015-11-27,3616.5440,3621.8970,3412.4270,3436.3030,35428752384
2015-11-30,3433.8550,3470.3710,3327.8120,3445.4050,30419790336
2015-12-01,3442.4410,3483.4140,3417.5450,3456.3090,25239075584
2015-12-02,3450.2780,3538.8470,3427.6610,3536.9050,30149147904
2015-12-03,3525.7270,3591.7300,3517.2300,3584.8240,28111125504
2015-12-04,3558.1490,3568.9700,3510.4120,3524.9920,25173641216
2015-12-07,3529.8060,3543.9450,3506.6250,3536.9270,20830257920
2015-12-08,3518.6480,3518.6480,3466.7900,3470.0700,22436731136
2015-12-09,3462.5830,3495.7020,3454.8790,3472.4390,19569884416
2015-12-10,3469.8060,3503.6540,3446.2730,3455.4950,20042751744
2015-12-11,3441.5970,3455.5480,3410.9240,3434.5810,18290887936
2015-12-14,3403.5070,3521.7790,3399.2800,3520.6680,21537462016
2015-12-15,3518.1260,3529.9610,3496.8540,3510.3540,20047134208
2015-12-16,3522.0910,3538.6890,3506.2910,3516.1870,19348230912
2015-12-17,3533.6280,3583.4080,3533.6280,3579.9990,28385647616
2015-12-18,3574.9400,3614.6980,3568.1610,3578.9640,27370790400
2015-12-21,3568.5810,3651.0560,3565.7510,3642.4720,29984928000
2015-12-22,3645.9900,3652.6350,3616.8700,3651.7670,26117876224
2015-12-23,3653.2820,3684.5670,3633.0250,3636.0890,29820180224
2015-12-24,3631.3130,3640.2210,3572.2770,3612.4850,22778522624
2015-12-25,3614.0540,3635.2560,3601.7380,3627.9140,19845111040
2015-12-28,3635.7690,3641.5880,3533.7790,3533.7790,26998327808
2015-12-29,3528.3950,3564.1710,3515.5200,3563.7360,18255192320
2015-12-30,3566.7310,3573.6840,3538.1120,3572.8760,18788961024
2015-12-31,3570.4670,3580.6020,3538.3530,3539.1820,17696365824
2016-01-04,3536.5890,3538.6890,3295.7410,3296.2580,18441842432
2016-01-05,3196.6510,3328.1390,3189.6050,3287.7110,26688208384
2016-01-06,3291.1950,3362.9740,3288.9330,3361.8400,23888667136
2016-01-07,3309.6570,3309.6570,3115.8850,3125.0020,7056912384
2016-01-08,3194.6250,3235.4510,3056.8780,3186.4120,28644082176
2016-01-11,3131.8530,3166.2150,3016.6970,3016.7040,27164369152
2016-01-12,3026.1590,3047.6640,2978.4630,3022.8610,20765962240
2016-01-13,3041.1070,3059.0150,2949.2900,2949.5970,19428210688
2016-01-14,2874.0490,3012.2930,2867.5530,3007.6490,21290564352
2016-01-15,2988.0480,3001.7080,2883.8680,2900.9700,19872169728
2016-01-18,2847.5390,2945.4500,2844.7040,2913.8370,16469969408
2016-01-19,2914.4080,3012.0680,2906.4040,3007.7390,20527970304
2016-01-20,2993.0140,3016.2830,2951.9220,2976.6940,21650547456
2016-01-21,2934.3910,2998.7900,2880.0850,2880.4820,19167566848
2016-01-22,2911.1120,2931.3590,2851.7330,2916.5620,15981073408
2016-01-25,2934.0780,2955.7830,2911.8290,2938.5150,15303905792
2016-01-26,2907.7180,2911.9910,2743.8390,2749.7850,21083605504
2016-01-27,2756.0820,2768.7720,2638.3020,2735.5580,21572204544
2016-01-28,2711.1580,2740.5360,2647.4930,2655.6610,17112027904
2016-01-29,2652.8540,2755.3670,2649.7910,2737.6000,18667310592
2016-02-01,2730.9840,2735.2550,2655.6230,2688.8540,15638374400
2016-02-02,2687.9820,2755.1590,2687.9820,2749.5700,15807821056
2016-02-03,2719.5740,2746.0720,2696.8840,2739.2470,14839721728
2016-02-04,2751.4320,2793.2980,2751.3140,2781.0230,17038201856
2016-02-05,2783.0760,2790.0610,2762.1600,2763.4920,14118628352
2016-02-15,2684.9610,2760.3590,2682.0900,2746.1960,12926393088
2016-02-16,2758.5790,2840.6220,2758.5790,2836.5710,19596161536
2016-02-17,2829.7640,2868.7010,2824.3560,2867.3380,21690992384
2016-02-18,2881.7770,2893.2150,2857.6990,2862.8930,21920387328
2016-02-19,2854.9040,2872.7240,2840.4880,2860.0210,16339141376
2016-02-22,2888.5980,2933.9640,2880.3470,2927.1750,23217604096
2016-02-23,2925.7080,2928.0480,2872.2820,2903.3310,19974066432
2016-02-24,2889.8850,2929.8710,2872.2740,2928.8960,21341038336
2016-02-25,2922.2370,2922.2370,2729.8510,2741.2450,27028441600
2016-02-26,2760.0580,2784.7530,2715.8740,2767.2100,19111047168
2016-02-29,2754.8140,2755.8900,2638.9630,2687.9790,20741070848
2016-03-01,2688.3800,2747.5620,2668.7570,2733.1700,18720744192
2016-03-02,2733.7670,2852.7000,2732.5390,2849.6810,27096178432
2016-03-03,2847.3310,2878.4450,2840.8740,2859.7580,28747821056
2016-03-04,2848.5380,2880.3720,2808.8490,2874.1470,31249516800
2016-03-07,2886.6400,2911.8390,2871.3460,2897.3400,21746683648
2016-03-08,2895.6660,2902.6210,2802.5630,2901.3870,23348265984
2016-03-09,2839.4110,2863.0150,2811.7180,2862.5560,18335538432
2016-03-10,2847.5670,2863.1760,2803.4760,2804.7260,13897946112
2016-03-11,2781.6000,2815.6070,2772.5510,2810.3070,12724755456
2016-03-14,2830.0840,2889.8160,2823.0280,2859.4990,19481603072
2016-03-15,2853.9780,2865.7870,2819.7950,2864.3680,16338666752
2016-03-16,2858.7090,2881.5290,2854.1920,2870.4300,18649253632
2016-03-17,2875.4110,2921.0000,2857.1910,2904.8320,20029021184
2016-03-18,2915.5180,2971.5510,2908.7420,2955.1500,31333273600
2016-03-21,2978.4550,3028.3220,2973.7580,3018.8020,35240043776
2016-03-22,3001.6300,3019.1010,2988.4260,2999.3630,27037732096
2016-03-23,2991.1690,3012.5600,2980.8550,3009.9600,21697746176
2016-03-24,2986.8010,2998.1540,2960.5370,2960.9700,23700640256
2016-03-25,2956.2000,2981.4080,2952.1060,2979.4340,17507434496
2016-03-28,2988.0100,3008.1680,2948.5260,2957.8200,20202124032
2016-03-29,2956.7050,2962.2030,2905.2510,2919.8320,18296534528
2016-03-30,2941.2180,3001.1060,2941.2180,3000.6450,21037145088
2016-03-31,3009.3670,3023.4090,2992.9160,3003.9150,22041344512
2016-04-01,2997.0880,3009.6730,2956.2470,3009.5300,20654586624
2016-04-05,3000.9380,3057.3300,2993.1480,3053.0650,25673034496
2016-04-06,3039.7450,3059.7940,3029.0050,3050.5920,23226205184
2016-04-07,3058.3390,3062.3580,3007.0600,3008.4200,22091950592
2016-04-08,2988.2000,2996.1710,2960.4600,2984.9580,18790463232
2016-04-11,3006.9090,3048.9770,3006.9090,3033.9570,22001832448
2016-04-12,3031.3010,3036.8250,3001.3150,3023.6460,18271866880
2016-04-13,3041.3580,3097.1650,3041.3580,3066.6380,31000324608
2016-04-14,3080.0900,3086.6980,3056.9890,3082.3620,20823782912
2016-04-15,3085.0260,3089.9510,3066.8720,3078.1170,18961305088
2016-04-18,3058.4630,3058.4630,3022.9700,3033.6600,18330451200
2016-04-19,3047.1330,3054.5030,3024.8950,3042.8230,15653319936
2016-04-20,3050.3810,3055.6890,2905.0490,2972.5840,28314422016
2016-04-21,2954.3700,2990.6730,2943.4640,2952.8910,18940684800
2016-04-22,2933.0350,2960.2090,2926.7760,2959.2400,13721166848
2016-04-25,2949.9730,2954.0920,2917.0200,2946.6700,12585624320
2016-04-26,2944.7160,2965.4290,2933.9710,2964.7000,11771160320
2016-04-27,2967.1900,2976.0220,2949.4320,2953.6710,13086764032
2016-04-28,2955.7420,2959.5120,2916.3740,2945.5890,13866327296
2016-04-29,2935.3760,2950.5760,2930.3570,2938.3240,10931062784
2016-05-03,2940.3920,2993.5350,2929.8150,2992.6430,16870364416
2016-05-04,2983.0270,3004.4180,2978.3300,2991.2720,16540710656
2016-05-05,2987.0220,2999.1180,2977.2000,2997.8420,14483138304
2016-05-06,2998.4020,3003.5900,2913.0360,2913.2480,20679649792
2016-05-09,2896.1620,2896.1620,2821.8260,2832.1130,18037832960
2016-05-10,2822.3270,2845.2380,2820.1640,2832.5910,12082930944
2016-05-11,2843.5450,2857.2540,2818.6990,2837.0370,13579546624
2016-05-12,2812.1080,2839.2760,2781.2360,2835.8620,13633765632
2016-05-13,2828.4620,2850.0930,2814.1150,2827.1090,11431971072
2016-05-16,2816.7750,2851.2290,2804.9910,2850.8620,11465359104
2016-05-17,2850.9260,2860.3210,2832.4590,2843.6840,12336906496
2016-05-18,2828.1780,2828.2550,2781.4170,2807.5140,14048782592
2016-05-19,2802.3150,2829.4020,2801.5480,2806.9060,11159507200
2016-05-20,2792.8880,2825.9520,2785.0800,2825.4830,10870089984
2016-05-23,2826.3120,2848.0710,2826.2560,2843.6450,12047045632
2016-05-24,2839.6820,2839.6950,2807.1880,2821.6660,11145244416
2016-05-25,2835.0290,2843.1650,2807.7490,2815.0860,10352726528
2016-05-26,2813.5430,2827.0920,2780.7630,2822.4430,11476679680
2016-05-27,2817.9680,2832.7990,2809.7990,2821.0460,10984582400
2016-05-30,2814.6510,2830.9700,2794.6610,2822.4510,10631958784
2016-05-31,2822.5930,2917.1350,2822.5930,2916.6160,21526034176
2016-06-01,2917.1540,2929.0760,2909.5120,2913.5080,18838642176
2016-06-02,2911.2190,2925.6700,2906.5240,2925.2290,15971691520
2016-06-03,2929.7880,2945.5190,2915.1850,2938.6820,17202102272
2016-06-06,2940.9940,2945.9420,2922.2830,2934.0980,14199374336
2016-06-07,2936.2820,2938.4440,2923.5020,2936.0450,13298786816
2016-06-08,2932.3760,2937.9860,2908.3670,2927.1590,14304607232
2016-06-13,2897.2730,2911.1580,2832.5070,2833.0710,16925543424
2016-06-14,2824.2290,2843.4560,2822.0610,2842.1890,11975527424
2016-06-15,2814.6930,2894.2640,2811.7810,2887.2100,16667106816
2016-06-16,2878.4020,2887.7430,2865.3880,2872.8170,17388276736
2016-06-17,2873.0090,2900.2990,2872.1850,2885.1050,17147251712
2016-06-20,2887.6360,2891.6580,2864.0200,2888.8090,13657105152
2016-06-21,2898.3840,2919.3020,2869.1760,2878.5580,16435908864
2016-06-22,2872.7340,2905.9780,2869.5130,2905.5500,13059042304
2016-06-23,2902.3980,2904.1120,2878.6610,2891.9600,13613737472
2016-06-24,2883.7590,2899.5690,2807.5980,2854.2860,19084260864
2016-06-27,2840.5590,2895.7310,2840.2770,2895.7030,15669747200
2016-06-28,2885.0110,2913.5820,2878.8240,2912.5570,17387104768
2016-06-29,2918.5340,2933.9970,2915.0620,2931.5920,19321558528
2016-06-30,2931.4810,2938.1370,2922.3120,2929.6060,15446492928
2016-07-01,2931.8020,2944.9890,2925.8100,2932.4760,14124622592
2016-07-04,2924.2930,2992.4980,2922.5200,2988.6040,22201713152
2016-07-05,2991.7520,3010.2750,2990.6420,3006.3920,23520444928
2016-07-06,2998.5210,3017.6520,2984.8280,3017.2920,21237092096
2016-07-07,3009.3530,3024.1090,2994.6430,3016.8470,22268166656
2016-07-08,3000.3260,3001.5510,2983.8810,2988.0940,16898685952
2016-07-11,2993.7490,3022.9440,2990.9070,2994.9170,22433822464
2016-07-12,2992.5200,3049.6810,2984.4210,3049.3810,25948629504
2016-07-13,3049.5130,3069.0470,3048.1990,3060.6890,25365938432
2016-07-14,3054.9750,3057.0460,3036.5230,3054.0180,18019480320
2016-07-15,3056.6820,3062.6830,3044.5380,3054.2960,17286639872
2016-07-18,3047.6370,3058.3210,3031.6390,3043.5640,17749656320
2016-07-19,3040.2260,3043.6000,3014.2890,3036.5980,15536146688
2016-07-20,3034.7140,3042.9970,3022.6310,3027.9000,13824281600
2016-07-21,3027.6040,3053.3340,3027.3680,3039.0090,16376737024
2016-07-22,3038.1180,3039.2700,3007.4570,3012.8160,16201018112
2016-07-25,3008.0930,3027.1220,3003.2920,3015.8270,14420658176
2016-07-26,3014.0390,3050.6140,3013.8020,3050.1660,15669450496
2016-07-27,3050.3670,3057.4230,2939.2270,2991.9990,28016091392
2016-07-28,2980.5010,3003.3630,2968.1820,2994.3230,19056495104
2016-07-29,2992.5350,3000.0540,2972.9160,2979.3380,15010153472
2016-08-01,2971.9490,2972.8750,2931.9630,2953.3850,14740776192
2016-08-02,2950.0790,2971.2780,2946.6360,2971.2780,11546889984
2016-08-03,2963.2140,2981.1550,2956.7850,2978.4600,14114133248
