date,open,high,low,close,volume
2015-01-05,3258.6270,3369.2810,3253.8830,3350.5190,53135239168
2015-01-06,3330.7990,3394.2240,3303.1840,3351.4460,50166169600
2015-01-07,3326.6490,3374.8960,3312.2110,3373.9540,39191888128
2015-01-08,3371.9570,3381.5660,3285.0950,3293.4560,37113116928
2015-01-09,3276.9650,3404.8340,3267.5090,3285.4120,41024087296
2015-01-12,3258.2130,3275.1850,3191.5820,3229.3160,32206467840
2015-01-13,3223.5420,3259.3860,3214.4120,3235.3010,23072575488
2015-01-14,3242.3370,3268.4830,3193.9780,3222.4370,24019074560
2015-01-15,3224.0700,3337.0840,3207.5450,3336.4550,28254624000
2015-01-16,3343.6030,3400.3180,3340.4900,3376.4950,33987675392
2015-01-19,3189.7270,3262.2070,3095.0660,3116.3510,40109879040
2015-01-20,3114.5600,3190.2450,3100.4770,3173.0520,35708081152
2015-01-21,3189.0850,3337.0040,3178.3430,3323.6110,41095602432
2015-01-22,3327.3190,3352.3840,3293.9780,3343.3440,35338296064
2015-01-23,3357.0960,3406.7860,3328.2930,3351.7640,36624923904
2015-01-26,3347.2570,3384.7980,3321.3150,3383.1820,31754100736
2015-01-27,3389.8530,3390.2160,3290.2190,3352.9600,37451755008
2015-01-28,3325.7220,3354.8020,3294.6550,3305.7380,30192709376
2015-01-29,3258.9970,3286.7860,3234.2410,3262.3050,27465861376
2015-01-30,3273.7470,3288.5030,3210.3080,3210.3630,25831254784
2015-02-02,3148.1360,3175.1340,3122.5720,3128.3000,25086162944
2015-02-03,3156.0860,3207.9350,3129.7320,3204.9070,24819216384
2015-02-04,3212.8220,3238.9820,3171.1440,3174.1260,24909808640
2015-02-05,3251.2120,3251.2120,3135.8190,3136.5310,30613930496
2015-02-06,3120.0900,3129.5390,3052.9390,3075.9070,24674966528
2015-02-09,3063.5100,3119.0340,3049.1110,3095.1240,20610838272
2015-02-10,3090.4900,3142.0990,3084.2530,3141.5930,19381713920
2015-02-11,3145.7650,3166.4210,3139.0520,3157.7040,17284009472
2015-02-12,3157.9590,3181.7660,3134.2440,3173.4160,19459230976
2015-02-13,3186.8080,3237.1590,3182.7940,3203.8270,26129043712
2015-02-16,3206.1370,3228.8460,3195.8840,3222.3630,22379742976
