date,open,high,low,close,volume,EMA,DIF,DEA,MACD,MinLow,MaxHigh,RSV,K,D,J,MA_5,MA_10,MA_60,OT
2021-05-17 10:00:00,3490.41,3518.44,3490.14,3518.44,13504708,3518.44,0.0,0.0,0.0,3490.14,3518.44,100.0,50.0,50.0,50.0,3520.296,3518.6809999999996,3518.737833333333,3512.82
2021-05-17 10:30:00,3518.81,3527.31,3512.38,3512.82,6206739,3518.0237037037036,-0.44831908831883993,-0.08966381766376799,-0.7173105413101439,3490.14,3527.31,61.016949152543035,53.672316384181016,51.22410546139368,58.568738229755695,3520.296,3518.6809999999996,3518.737833333333,3525.7
2021-05-17 11:00:00,3513.52,3528.19,3511.76,3525.7,4358897,3518.5923182441697,0.23300719961707728,-0.02512961420759894,0.5162736276493525,3490.14,3528.19,93.45597897503227,66.9335372477981,56.46058272352848,87.87944629633735,3520.296,3518.6809999999996,3518.737833333333,3526.09
2021-05-17 11:30:00,3525.27,3530.51,3522.75,3526.09,3519045,3519.147702077935,0.7952656052693783,0.13894942968779653,1.3126323511631635,3490.14,3530.51,89.05127569977698,74.30611673179106,62.40909405961601,98.10016207614117,3520.296,3518.6809999999996,3518.737833333333,3518.43
2021-05-17 13:30:00,3526.16,3528.53,3513.3,3518.43,4010790,3519.0945389610506,0.6156644631992094,0.23429243639007913,0.7627440536182606,3490.14,3530.51,70.07678969531761,72.89634105296658,65.90484305739953,86.87933704410065,3520.296,3518.6809999999996,3518.737833333333,3513.59
2021-05-17 14:00:00,3518.73,3521.19,3512.41,3513.59,3048511,3518.6867953343058,0.08183833236716964,0.20380161558549725,-0.24392656643665522,3490.14,3530.51,58.08768887787979,67.96012366127098,66.58993659202335,70.70049779976625,3519.326,3518.6809999999996,3518.737833333333,3520.58
2021-05-17 14:30:00,3513.35,3522.24,3509.45,3520.58,3263037,3518.82703271695,0.2202726933114718,0.2070958311306922,0.02635372436155925,3490.14,3530.51,75.40252662868416,70.4409246504087,67.8735992781518,75.57557539492251,3520.8779999999997,3518.6809999999996,3518.737833333333,3517.62
2021-05-17 15:00:00,3520.37,3522.2,3515.11,3517.62,4535946,3518.7376228860644,0.09009707646418974,0.18369608019739173,-0.18719800746640397,3490.14,3530.51,68.07034926925881,69.65073285669207,68.46597713766522,72.0202442947458,3519.2619999999997,3518.6809999999996,3518.737833333333,3516.13
2021-05-18 10:00:00,3520.65,3525.07,3512.61,3516.13,10316289,3518.5444656352447,-0.13177951310490243,0.12060096153693291,-0.5047609492836707,3490.14,3530.51,64.37948972008921,67.89365181115778,68.2752020288294,67.13055137581455,3517.2699999999995,3518.6809999999996,3518.737833333333,3517.41
2021-05-18 10:30:00,3516.01,3523.0,3515.31,3517.41,5139438,3518.460431143745,-0.20200442501163707,0.05607988422721892,-0.516168618477712,3509.45,3530.51,37.79677113010392,57.8613582508065,64.80392076948843,43.97623321344264,3517.0660000000003,3518.6809999999996,3518.737833333333,3517.09
