Unnamed: 0,time,open,high,low,close,volume,EMA,DIF,DEA,MACD,MinLow,MaxHigh,RSV,K,D,J,MA_5,MA_10,MA_60
0,2021-03-25 10:30:00,3355.07,3381.22,3344.97,3373.8,14014886,3373.8,0.0,0.0,0.0,3344.97,3381.22,79.53103448275968,50.0,50.0,50.0,,,
1,2021-03-25 11:30:00,3373.76,3382.23,3362.19,3366.64,4813183,3373.26962962963,-0.5711680911681469,-0.11423361823362939,-0.9138689458690351,3344.97,3382.23,58.15888352120222,52.71962784040074,50.90654261346691,56.345798294268405,,,
2,2021-03-25 14:00:00,3366.86,3379.2,3364.67,3366.07,4501633,3372.736323731139,-1.057625506286513,-0.30291199584420614,-1.5094270208846137,3344.97,3382.23,56.62909286097756,54.02278284725968,51.9452893580645,58.17776982565002,,,
3,2021-03-25 15:00:00,3365.65,3368.17,3357.56,3363.59,5692642,3372.0588182695733,-1.624535156237016,-0.5672366279227681,-2.114597056628496,3344.97,3382.23,49.973161567365096,52.67290908729481,52.187829267807935,53.64306872626857,,,
4,2021-03-26 10:30:00,3373.32,3395.06,3373.32,3386.7,12234412,3373.143350249605,-0.20664915370525705,-0.49511913307926586,0.5769399587480176,3344.97,3395.06,83.31004192453562,62.885286699708416,55.75364841177476,77.14856327557573,3371.3599999999997,,
5,2021-03-26 11:30:00,3386.89,3415.41,3383.58,3409.77,6847277,3375.8564354163013,2.7469270494598277,0.15329010342855287,5.187273892062549,3344.97,3415.41,91.99318568994907,72.5879196964553,61.36507217333494,95.03361474269605,3378.554,,
6,2021-03-26 14:00:00,3410.61,3418.23,3410.09,3417.56,5675137,3378.945588348427,5.651102968755822,1.2528526764940067,8.796500584523631,3344.97,3418.23,99.08544908544899,81.42042949278652,68.0501912798188,108.16090591872197,3388.738,,
7,2021-03-26 15:00:00,3417.66,3423.22,3411.85,3418.33,7484034,3381.8629521744692,7.923478940069799,2.5869779292091653,10.673002021721267,3344.97,3423.22,93.75079872204489,85.53055256920598,73.87697837628119,108.8377009550556,3399.19,,
8,2021-03-29 10:30:00,3429.63,3447.3,3409.89,3446.5,15205099,3386.650881643027,11.860713915429187,4.44172512645317,14.837977577952035,3344.97,3447.3,99.21821557705445,90.09310690515547,79.28235455257261,111.71461161032116,3415.772,,
9,2021-03-29 11:30:00,3446.88,3449.83,3435.65,3445.4,6557483,3391.002668187988,14.722528053782298,6.497885711918996,16.449284683726603,3357.56,3449.83,95.19887287309002,91.79502889446698,83.45324599987073,108.47859468365945,3427.5119999999997,3399.436,
10,2021-03-29 14:00:00,3446.13,3446.81,3427.08,3432.35,5313308,3394.0654335073964,15.755886389486477,8.349485847432492,14.81280108410797,3357.56,3449.83,81.05559770239512,88.21521849710969,85.04057016561705,94.56451516009497,3432.028,3405.291,
11,2021-03-29 15:00:00,3432.26,3438.53,3428.26,3435.3,5718520,3397.119845840182,16.621270995642135,10.00384287707442,13.234856237135428,3357.56,3449.83,84.25273653408503,86.89439117610146,85.6585105024452,89.366152523414,3435.5759999999996,3412.157,
12,2021-03-30 10:30:00,3432.53,3450.0,3423.32,3449.9,13748191,3401.029486889057,18.27453504894811,11.65798131144916,13.233107474997901,3373.32,3450.0,99.86958789775703,91.21945674998665,87.51215925162568,98.6340517467086,3441.8900000000003,3420.54,
13,2021-03-30 11:30:00,3449.68,3457.63,3444.05,3455.44,6801244,3405.059895267645,19.803507910667122,13.287086631292752,13.03284255874874,3383.58,3457.63,97.0425388251181,93.16048410836379,89.39493420387171,100.69158391734794,3443.678,3429.725,
14,2021-03-30 14:00:00,3455.44,3457.61,3444.03,3444.91,5769348,3408.011754877449,19.935740119583897,14.616817328950981,10.637845581265832,3409.89,3457.63,73.35567658148263,86.5588815994034,88.44958333571562,82.77747812677896,3443.5800000000004,3435.546,
15,2021-03-30 15:00:00,3444.79,3456.68,3444.34,3456.68,6843781,3411.6168100717123,20.751070310392606,15.843667925239306,9.814804770306601,3409.89,3457.63,98.01005446166681,90.37593922015787,89.09170196386303,92.94441373274756,3448.446,3440.237,
16,2021-03-31 10:30:00,3452.21,3452.21,3426.28,3432.47,14368656,3413.161490807141,19.222100285409397,16.519354397273325,5.405491776272143,3409.89,3457.63,47.2978634268953,76.01658062240368,84.73332818337659,58.583085500457855,3447.88,3441.728,
17,2021-03-31 11:30:00,3431.91,3435.62,3420.83,3435.46,5767713,3414.8132322288347,18.043652541784923,16.824214026175646,2.438877031218553,3420.83,3457.63,39.755434782608795,63.92953200913871,77.79872945863062,36.1911371101549,3444.9919999999997,3443.4410000000003,
18,2021-03-31 14:00:00,3435.68,3439.88,3428.77,3439.88,4861186,3416.6700298415135,17.267334195164494,16.912838059973417,0.7089922703821543,3420.83,3457.63,51.76630434782633,59.87512278870125,71.82419390198748,35.97698056212877,3441.88,3442.779,
19,2021-03-31 15:00:00,3439.81,3444.27,3435.7,3441.91,6419854,3418.5396572606605,16.624266154990437,16.855123678976824,-0.4617150479727741,3420.83,3457.63,57.282608695651696,59.0109514243514,67.55311307610879,41.926628120836625,3441.28,3442.4300000000003,
20,2021-04-01 10:30:00,3444.81,3459.73,3438.83,3454.61,12348690,3421.211534500612,16.944093004939077,16.872917544169276,0.14235092153960238,3420.83,3459.73,86.83804627249388,68.28664970706555,67.7976252864277,69.26469854834124,3440.8659999999995,3444.656,
21,2021-04-01 11:30:00,3454.16,3459.23,3445.3,3450.36,5250407,3423.370680093159,16.662543180768353,16.830842671489094,-0.33659898144148315,3420.83,3459.73,75.91259640102861,70.82863193838656,68.80796083708066,74.86997414099838,3444.4440000000004,3446.1619999999994,
22,2021-04-01 14:00:00,3450.29,3453.26,3443.49,3451.37,4838762,3425.4447037899617,16.332638980284628,16.7312019332482,-0.797125905927146,3420.83,3459.73,78.50899742930564,73.38875376869292,70.33489181428475,79.49647767750926,3447.626,3446.3089999999997,
23,2021-04-01 15:00:00,3451.49,3470.03,3451.13,3466.33,6827332,3428.4732442499644,17.0814304017822,16.801247626955,0.5603655496543993,3420.83,3470.03,92.47967479674746,79.75239411137777,73.47405924664909,92.30906384083511,3452.916,3447.3979999999997,
24,2021-04-02 10:30:00,3472.63,3480.78,3462.83,3476.67,13915231,3432.0433743055223,18.29827347672517,17.100652796909035,2.395241359632273,3420.83,3480.78,93.14428690575461,84.21635837617005,77.05482562315608,98.53942388219801,3459.868,3450.5740000000005,
25,2021-04-02 11:30:00,3477.23,3487.59,3475.41,3481.39,6077744,3435.6986799125207,19.419637441688337,17.564449725864897,3.710375431646881,3420.83,3487.59,90.71300179748314,86.38190618327441,80.16385247652886,98.81801359676552,3465.2239999999997,3453.0450000000005,
26,2021-04-02 14:00:00,3482.13,3482.93,3468.87,3472.47,5313483,3438.422481400482,19.365325591541023,17.924624899000122,2.8814013850818014,3428.77,3487.59,74.29445766745954,82.35275667800279,80.8934872103535,85.27129561330139,3469.6459999999997,3457.0449999999996,
27,2021-04-02 15:00:00,3472.42,3484.61,3471.94,3484.39,6488861,3441.827482778224,20.052969291949466,18.350293777589993,3.405351028718947,3435.7,3487.59,93.83310849874687,86.17954061825083,82.65550501298594,93.2276118287806,3476.25,3461.9379999999996,
28,2021-04-06 10:30:00,3491.63,3493.28,3472.53,3482.68,13481486,3444.853595165022,20.226787355893975,18.72559249325079,3.0023897252863705,3438.83,3493.28,80.53259871441632,84.29722665030599,83.20274555875929,86.48618883339938,3479.5199999999995,3466.218,
