time,open,high,low,close,volume
2023-06-19,48.1,48.1,47.15,47.75,358000.0
2023-06-20,47.4,47.4,46.55,46.55,86500.0
2023-06-21,46.05,46.65,45.9,46.05,349000.0
2023-06-23,46.0,46.0,45.0,45.6,677500.0
2023-06-26,45.25,45.65,44.9,45.0,1225000.0
2023-06-27,45.25,46.3,45.05,46.05,858500.0
2023-06-28,45.65,46.45,45.6,46.4,771000.0
2023-06-29,46.45,46.5,46.15,46.2,67000.0
2023-06-30,46.25,46.65,46.1,46.35,67500.0
2023-07-03,46.3,47.9,46.3,47.65,180000.0
2023-07-04,47.45,47.8,47.4,47.7,163500.0
2023-07-05,47.45,47.6,47.0,47.25,306500.0
2023-07-06,47.0,47.25,45.85,45.95,764000.0
2023-07-07,45.85,45.95,45.2,45.4,1063500.0
2023-07-10,46.1,46.1,45.0,45.1,699500.0
2023-07-11,45.45,45.85,45.2,45.25,333000.0
2023-07-12,45.85,46.6,45.75,46.15,279500.0
2023-07-13,46.9,48.05,46.9,47.7,426500.0
2023-07-14,48.0,48.2,47.75,47.75,371500.0
2023-07-18,47.05,47.05,46.5,46.55,380000.0
2023-07-19,46.25,46.6,45.9,46.45,537500.0
2023-07-20,46.55,46.8,45.9,45.95,815500.0
2023-07-21,46.0,46.55,45.8,46.0,261000.0
2023-07-24,45.8,45.95,44.85,44.9,698500.0
2023-07-25,46.5,48.4,46.5,47.85,849000.0
2023-07-26,47.8,48.25,47.45,48.0,404000.0
2023-07-27,48.5,49.45,48.45,49.15,860500.0
2023-07-28,49.0,51.55,49.0,51.5,741500.0
2023-07-31,52.1,52.5,51.2,51.45,619000.0
2023-08-01,51.55,52.25,50.4,50.5,708500.0
2023-08-02,50.5,51.25,49.15,49.2,592000.0
2023-08-03,49.15,50.4,49.15,49.35,373000.0
2023-08-04,51.1,51.6,50.05,50.05,530000.0
2023-08-07,49.3,50.0,49.15,50.0,378500.0
2023-08-08,48.75,49.45,48.5,48.75,672000.0
2023-08-09,48.3,48.85,48.3,48.6,402500.0
2023-08-10,48.8,49.0,48.2,48.9,410000.0
2023-08-11,48.75,48.75,47.35,47.65,525000.0
2023-08-14,47.0,47.0,45.6,46.3,1150000.0
2023-08-15,46.2,46.5,45.15,45.45,702000.0
2023-08-16,45.0,45.05,44.15,44.15,554000.0
2023-08-17,43.3,43.75,42.5,43.55,808500.0
2023-08-18,43.8,44.2,42.4,42.5,546500.0
2023-08-21,42.0,42.0,40.7,40.85,1040000.0
2023-08-22,41.0,41.5,40.4,40.95,894000.0
2023-08-23,40.8,41.55,40.75,41.1,475500.0
2023-08-24,41.45,41.45,40.9,41.0,491500.0
2023-08-25,40.95,41.9,40.85,41.25,418000.0
2023-08-28,43.55,43.55,42.2,42.2,680000.0
2023-08-29,42.65,43.8,42.65,43.45,688000.0
2023-08-30,43.8,44.65,43.65,43.8,847000.0
2023-08-31,44.8,44.95,43.6,43.6,326500.0
2023-09-04,45.5,46.55,45.1,46.5,668000.0
2023-09-05,45.45,45.6,45.1,45.15,191500.0
2023-09-06,45.15,46.05,44.9,45.75,448000.0
2023-09-07,45.35,45.35,44.25,44.7,545500.0
2023-09-11,44.3,44.3,43.3,43.85,315500.0
2023-09-12,43.5,44.25,43.05,43.85,229500.0
2023-09-13,44.4,44.4,43.4,43.5,276000.0
2023-09-14,43.9,44.15,43.3,43.6,252500.0
2023-09-15,44.1,45.0,43.95,44.3,410500.0
2023-09-18,43.65,43.65,43.0,43.15,483000.0
2023-09-19,42.95,43.15,42.8,43.15,173500.0
2023-09-20,43.0,43.3,42.65,43.2,153000.0
2023-09-21,42.6,42.85,42.4,42.5,194000.0
2023-09-22,42.5,44.2,42.5,44.2,427000.0
2023-09-25,43.75,43.8,42.95,43.3,208000.0
2023-09-26,42.7,42.7,41.6,42.0,455000.0
2023-09-27,41.9,42.25,41.7,41.95,209000.0
2023-09-28,41.55,41.9,41.1,41.1,485000.0
2023-09-29,41.65,41.9,41.3,41.65,299000.0
2023-10-03,44.05,44.05,39.5,39.75,1962000.0
2023-10-04,39.25,39.7,39.15,39.3,3010500.0
2023-10-05,39.65,39.8,39.3,39.5,2005000.0
2023-10-06,39.95,40.5,39.8,40.05,2186000.0
2023-10-09,40.9,40.95,40.35,40.6,1030500.0
2023-10-10,41.5,41.6,40.75,40.85,1301000.0
2023-10-11,41.6,41.6,41.05,41.15,418500.0
2023-10-12,42.2,42.3,41.65,41.7,1031000.0
2023-10-13,41.15,41.4,41.0,41.15,509500.0
2023-10-16,41.05,41.3,40.1,40.2,240500.0
2023-10-17,40.3,40.45,39.85,40.1,1513000.0
2023-10-18,39.95,40.3,39.7,39.8,3209500.0
2023-10-19,38.55,39.2,38.3,38.3,7264000.0
2023-10-20,37.9,38.55,37.9,38.05,5740000.0
2023-10-24,37.55,38.1,37.45,37.65,4688500.0
2023-10-25,38.7,38.9,37.6,37.8,3631500.0
2023-10-26,38.0,38.05,37.5,37.85,48000.0
2023-10-27,37.5,38.35,37.1,37.95,89000.0
2023-10-30,38.2,38.2,37.2,37.65,82000.0
2023-10-31,38.1,38.1,37.2,37.55,93000.0
2023-11-01,37.55,37.55,37.1,37.25,173500.0
2023-11-02,38.05,38.05,37.55,37.6,72500.0
2023-11-03,38.1,38.55,38.1,38.5,61500.0
2023-11-06,39.3,39.6,39.1,39.4,95500.0
2023-11-07,38.8,38.8,37.5,37.95,144500.0
2023-11-08,37.2,37.65,35.8,35.9,1094000.0
2023-11-09,35.8,36.5,34.9,36.5,425000.0
2023-11-10,35.0,35.1,34.55,34.8,175000.0
2023-11-13,34.6,34.9,34.25,34.8,110500.0
2023-11-14,35.3,35.95,35.25,35.45,78000.0
2023-11-15,36.3,37.0,36.0,36.6,166500.0
2023-11-16,36.5,36.65,35.9,36.2,68500.0
2023-11-17,35.85,35.85,35.4,35.5,43000.0
2023-11-20,35.6,35.95,35.55,35.75,115000.0
2023-11-21,36.0,36.45,35.5,35.55,144000.0
2023-11-22,35.45,35.6,35.2,35.45,59000.0
2023-11-23,35.6,36.2,35.1,36.2,85000.0
2023-11-24,35.8,36.15,35.65,35.65,69000.0
2023-11-27,35.5,35.5,34.8,35.0,138500.0
2023-11-28,34.75,34.8,33.95,33.95,234500.0
2023-11-29,33.8,33.8,32.6,32.65,395000.0
2023-11-30,32.65,33.0,32.5,32.9,105500.0
2023-12-01,32.95,33.55,32.8,33.1,170000.0
2023-12-04,33.15,33.4,32.2,32.25,300500.0
2023-12-05,31.8,31.8,31.2,31.45,164500.0
2023-12-06,31.15,31.8,31.15,31.75,140500.0
2023-12-07,31.45,31.45,30.8,31.0,85000.0
2023-12-08,30.95,31.15,30.8,30.9,114000.0
2023-12-11,30.5,31.3,30.1,30.95,274000.0
2023-12-12,30.8,31.55,30.8,31.45,37000.0
