ipodate,code,code_name
2003-04-28,sh.600004,白云机场
1999-03-12,sh.600007,中国国贸
2000-04-27,sh.600008,首创环保
2003-10-29,sh.600021,上海电力
2021-05-25,sh.600032,浙江新能
2000-12-18,sh.600038,中直股份
1997-05-15,sh.600056,中国医药
1997-04-22,sh.600060,海信视像
1997-05-22,sh.600062,华润双鹤
1997-06-06,sh.600079,人福医药
1997-07-08,sh.600095,湘财股份
1997-07-09,sh.600096,云天化
1997-07-18,sh.600098,广州发展
1997-08-07,sh.600109,国金证券
1997-09-08,sh.600118,中国卫星
1998-03-11,sh.600126,杭钢股份
1997-11-18,sh.600129,太极集团
1998-04-02,sh.600131,国网信通
1997-10-30,sh.600132,重庆啤酒
1999-06-16,sh.600141,兴发集团
2004-06-23,sh.600143,金发科技
1998-06-16,sh.600153,建发股份
1998-09-18,sh.600155,华创云信
1998-05-13,sh.600157,永泰能源
1998-06-02,sh.600166,福田汽车
1998-06-23,sh.600170,上海建工
1998-11-19,sh.600177,雅戈尔
1999-06-23,sh.600208,衢州发展
2000-06-01,sh.600258,首旅酒店
2003-07-11,sh.600271,航天信息
2000-09-19,sh.600282,南钢股份
2001-04-26,sh.600295,鄂尔多斯
2000-08-18,sh.600298,安琪酵母
2000-04-20,sh.600299,安迪苏
2001-02-21,sh.600312,平高电气
2000-12-15,sh.600316,洪都航空
2004-02-25,sh.600325,华发股份
2001-06-06,sh.600329,达仁堂
2000-12-25,sh.600339,中油工程
2003-08-21,sh.600348,华阳股份
2002-03-18,sh.600350,山东高速
2003-08-01,sh.600352,浙江龙盛
2001-11-29,sh.600361,创新新材
2001-01-09,sh.600369,西南证券
2002-03-04,sh.600373,中文传媒
2001-01-11,sh.600378,昊华科技
2001-06-08,sh.600380,健康元
2001-01-15,sh.600390,五矿资本
2003-05-29,sh.600392,盛和资源
2000-12-28,sh.600398,海澜之家
2002-07-18,sh.600416,湘电股份
2001-08-24,sh.600418,江淮汽车
2003-07-04,sh.600435,北方导航
2004-05-31,sh.600483,福能股份
2002-04-25,sh.600486,扬农化工
2003-08-22,sh.600487,亨通光电
2004-04-20,sh.600497,驰宏锌锗
2001-08-23,sh.600498,烽火通信
2002-10-10,sh.600499,科达制造
2000-03-01,sh.600500,中化国际
2002-11-27,sh.600511,国药股份
2002-08-30,sh.600516,方大炭素
2003-10-10,sh.600517,国网英大
2003-03-04,sh.600521,华海药业
2001-05-28,sh.600528,中铁工业
2002-06-03,sh.600529,山东药玻
2002-08-23,sh.600535,天士力
2002-05-17,sh.600536,中国软件
2003-07-31,sh.600546,山煤国际
2002-11-07,sh.600549,厦门钨业
2002-12-10,sh.600563,法拉电子
2001-08-22,sh.600566,济川药业
2002-05-10,sh.600578,京能电力
2002-06-06,sh.600580,卧龙电驱
2002-05-15,sh.600582,天地科技
2002-02-05,sh.600583,海油工程
2002-03-29,sh.600598,北大荒
1992-03-27,sh.600606,绿地控股
1992-08-14,sh.600612,老凤祥
1993-03-16,sh.600637,东方明珠
1993-04-16,sh.600642,申能股份
1992-09-02,sh.600655,豫园股份
1993-06-28,sh.600663,陆家嘴
1993-09-17,sh.600673,东阳光
1993-10-28,sh.600685,中船防务
1993-11-08,sh.600688,上海石化
1993-12-06,sh.600699,均胜电子
1996-06-06,sh.600704,物产中大
1996-05-20,sh.600707,彩虹股份
1996-07-16,sh.600720,中交设计
1996-07-31,sh.600737,中粮糖业
1996-08-19,sh.600739,辽宁成大
1996-10-11,sh.600754,锦江酒店
1996-10-03,sh.600755,厦门国贸
1996-10-30,sh.600763,通策医疗
1996-11-04,sh.600764,中国海防
1996-11-06,sh.600765,中航重机
1994-01-03,sh.600801,华新水泥
1994-01-06,sh.600808,马钢股份
1994-01-28,sh.600816,建元信托
1994-01-28,sh.600820,隧道股份
1994-03-11,sh.600839,四川长虹
1994-03-24,sh.600848,上海临港
1994-05-06,sh.600859,王府井
1994-05-20,sh.600862,中航高科
1994-05-20,sh.600863,内蒙华电
1994-08-24,sh.600867,通化东宝
1995-04-11,sh.600871,石化油服
1995-01-24,sh.600872,中炬高新
1995-02-17,sh.600873,梅花生物
1995-11-15,sh.600879,航天电子
1996-01-30,sh.600884,杉杉股份
1996-02-05,sh.600885,宏发股份
1996-04-22,sh.600895,张江高科
2018-03-01,sh.600901,江苏金租
2021-05-07,sh.600906,财达证券
2016-12-06,sh.600909,华安证券
2023-03-29,sh.600925,苏能股份
2021-12-23,sh.600927,永安期货
2019-03-01,sh.600928,西安银行
2020-06-29,sh.600956,新天绿能
2015-04-28,sh.600959,江苏有线
2019-06-26,sh.600968,海油发展
2005-04-12,sh.600970,中材国际
2016-08-09,sh.600977,中国电影
2004-04-14,sh.600988,赤峰黄金
2004-06-15,sh.600995,南网储能
2010-11-02,sh.600998,九州通
2010-07-05,sh.601000,唐山港
2006-06-23,sh.601001,晋控煤业
2014-09-29,sh.601016,节能风电
2017-11-22,sh.601019,山东出版
2023-04-10,sh.601061,中信金属
2010-10-28,sh.601098,中南传媒
2007-12-28,sh.601099,太平洋
