time,price,signal,label
1998-07-21,44.14,buy,2.0
1998-08-20,33.61,sell,4.0
1998-09-09,34.35,buy,2.0
1998-10-05,33.67,sell,4.0
1998-10-20,38.09,buy,1.0
1999-01-19,50.41,sell,3.0
1999-01-22,49.47,buy,2.0
1999-02-02,47.79,sell,4.0
1999-02-25,46.85,buy,2.0
1999-03-25,50.72,sell,4.0
1999-04-01,49.91,buy,2.0
1999-04-09,49.22,sell,4.0
1999-04-14,50.41,buy,1.0
1999-07-27,61.39,sell,3.0
1999-10-14,54.84,buy,2.0
1999-12-01,58.08,sell,4.0
1999-12-21,66.63,buy,2.0
2000-02-01,64.5,sell,4.0
2000-02-08,68.75,buy,2.0
2000-02-25,60.31,sell,4.0
2000-03-17,62.06,buy,2.0
2000-05-18,36.31,sell,4.0
2000-06-16,42.69,buy,2.0
2000-09-18,41.12,sell,4.0
2000-10-11,42.25,buy,2.0
2000-10-18,46.44,sell,4.0
2000-10-19,45.38,buy,2.0
2001-01-03,24.62,sell,4.0
2001-02-28,28.08,buy,2.0
2001-06-14,27.15,sell,4.0
2001-07-18,29.04,buy,2.0
2001-08-07,28.85,sell,4.0
2001-10-02,26.81,buy,2.0
2001-11-01,28.38,sell,4.0
2001-11-02,28.26,buy,2.0
2001-12-04,27.28,sell,4.0
2001-12-12,26.48,buy,2.0
2002-01-11,27.0,sell,4.0
2002-01-16,26.94,buy,2.0
2002-04-12,28.99,sell,4.0
2002-08-09,27.28,buy,2.0
2002-11-29,30.92,sell,4.0
2002-12-23,33.04,buy,2.0
2003-01-27,31.65,sell,4.0
2003-03-18,34.63,buy,2.0
2003-04-09,33.38,sell,4.0
2003-04-21,33.02,buy,2.0
2003-08-07,36.9,sell,4.0
2003-10-08,38.14,buy,2.0
2003-11-24,40.24,sell,4.0
2003-12-01,41.02,buy,2.0
2004-07-19,47.95,sell,4.0
2004-08-05,45.97,buy,2.0
2004-08-09,45.01,sell,4.0
2004-12-09,46.29,buy,1.0
2008-01-10,69.64,sell,3.0
2008-07-14,65.36,buy,2.0
2008-09-18,63.38,sell,4.0
2009-01-21,40.75,buy,2.0
2009-02-24,39.14,sell,4.0
2009-04-01,33.08,buy,2.0
2009-04-02,34.05,sell,4.0
2009-04-09,34.75,buy,2.0
2009-07-13,38.55,sell,4.0
2009-07-17,39.37,buy,1.0
2010-05-10,56.86,sell,3.0
2010-05-17,56.56,buy,2.0
