time,price,signal,label
1997-08-21,36.38,buy,2.0
1997-09-03,34.44,sell,4.0
1998-09-09,22.19,buy,1.0
1999-01-05,27.69,sell,3.0
2018-04-30,62.54,buy,2.0
2018-08-06,69.72,sell,4.0
2020-11-06,60.86,buy,1.0
2021-04-05,79.28,sell,3.0
